method,num_packages,initial_fetch_bytes,proof_size_bytes,map_size_bytes
merkle,1,64,75,219
plain,1,19,0,19
merkle,10,64,395,5934
plain,10,190,0,190
merkle,100,64,716,38424
plain,100,2080,0,2080
merkle,1000,64,717,398604
plain,1000,22780,0,22780
merkle,10000,64,974,4063548
plain,10000,247780,0,247780
merkle,100000,64,1103,40263780
plain,100000,2677780,0,2677780
merkle,1000000,64,1296,404349276
plain,1000000,28777780,0,28777780
merkle,10000000,64,1681,4063755684
plain,10000000,307777780,0,307777780
